county,n_species,total_area,human_pop_county,density,perc_not_secure_state,perc_not_secure_global
Albany,376,1381245346,303348,2.196192015259829e-4,54.59610027855153,4.56989247311828
Allegany,232,2679214934,45609,1.7023270295043823e-5,28.57142857142857,3.0434782608695654
Bronx,275,148586764,1390450,0.009357832168684958,67.8030303030303,3.308823529411765
Broome,243,1852704805,187614,1.0126491791551218e-4,33.047210300429185,2.904564315352697
Cattaraugus,318,3424909467,74899,2.1868899228336888e-5,48.064516129032256,3.1746031746031744
Cayuga,322,2236898696,75486,3.3745828604122e-5,48.3974358974359,3.1347962382445136
Chautauqua,303,3885479873,125765,3.236794530166905e-5,43.83561643835616,3.0100334448160537
Chemung,270,1063863749,82498,7.754564442819454e-5,40.909090909090914,2.6022304832713754
Chenango,237,2327440818,46731,2.007827637918482e-5,32.01754385964912,2.9787234042553195
Clinton,332,2894345033,80097,2.7673618413413256e-5,49.532710280373834,1.5151515151515151
Columbia,305,1678842117,58813,3.5031882631760306e-5,45.57823129251701,4.697986577181208
Cortland,231,1298928591,47299,3.641385702626358e-5,31.25,3.056768558951965
Delaware,253,3800470486,43353,1.1407271852182988e-5,35.24590163934426,4
Dutchess,389,2137634629,294776,1.3789821515845213e-4,56.87830687830689,4.6875
Erie,395,3177539614,916672,2.884848377534657e-4,57.8125,2.051282051282051
Essex,418,4963103744,36079,7.26944304632291e-6,59.168704156479215,3.132530120481928
Franklin,291,4396479409,49508,1.1260828357037803e-5,45.51971326164875,1.4035087719298245
Fulton,216,1380151090,52883,3.831681935635032e-5,23.076923076923077,2.336448598130841
Genesee,309,1282842972,56866,4.4328106589182765e-5,48.49498327759198,2.6143790849673203
Greene,284,1704341560,46802,2.746045810207198e-5,42.18181818181818,4.285714285714286
Hamilton,260,4682193736,4384,9.363132427205486e-7,41.796875,2.6923076923076925
Herkimer,292,3776227978,60531,1.6029487719663306e-5,42.80701754385965,2.405498281786942
Jefferson,378,4810534160,105770,2.1987163271697877e-5,53.86740331491713,2.956989247311828
Kings,213,250843242,2523560,0.010060306906733409,63.54679802955665,3.3175355450236967
Lewis,295,3340920138,25916,7.757144418158492e-6,44.79166666666667,2.7303754266211606
Livingston,290,1658260127,62316,3.757914635066179e-5,43.214285714285715,2.797202797202797
Madison,265,1712745358,70589,4.121394909657084e-5,39.922480620155035,3.4090909090909087
Monroe,377,3539746542,739582,2.0893642842069904e-4,58.791208791208796,2.6881720430107525
Montgomery,187,1062666158,48875,4.599280746079805e-5,17.12707182320442,2.13903743315508
Nassau,420,1174251309,1355700,0.0011545228773511208,71.007371007371,3.5971223021582732
New York,150,87694297,1628010,0.01856460517609258,70.2127659574468,4
Niagara,318,2951729939,207723,7.037330795593492e-5,53.09446254071661,1.89873417721519
Oneida,369,3257279069,227065,6.971002336306113e-5,52.79329608938548,2.203856749311295
Onondaga,368,2086540641,458286,2.1963914385121242e-4,54.7486033519553,3.0303030303030303
Ontario,278,1716001534,109855,6.401800803984597e-5,40.520446096654275,1.444043321299639
Orange,432,2171925330,390568,1.798257033081335e-4,60.14319809069213,4
Orleans,220,2117108738,39746,1.8773716855728174e-5,36.492890995260666,3.7037037037037033
Oswego,323,3398227397,116342,3.4236084407626236e-5,46.30225080385852,4.075235109717868
Otsego,240,2630801251,58859,2.237303178171554e-5,31.877729257641924,3.389830508474576
Putnam,272,637450426,97332,1.5268952067497716e-4,43.89312977099237,4.089219330855019
Queens,324,470038399,2212360,0.004706764393519262,71.24600638977637,2.786377708978328
Rensselaer,324,1723385533,157576,9.143398095358155e-5,48.734177215189874,3.4161490683229814
Richmond,380,266424213,475909,0.0017862828405915193,71.27371273712737,3.16622691292876
Rockland,340,516061786,326323,6.323331989553669e-4,53.799392097264445,3.857566765578635
Saratoga,306,2185452229,229249,1.0489774013724278e-4,45.302013422818796,2.6402640264026402
Schenectady,242,542456659,155739,2.870994344268894e-4,39.48497854077253,1.6736401673640167
Schoharie,223,1622180503,30705,1.892822650945152e-5,25.471698113207548,1.8181818181818181
Schuyler,236,886651777,17653,1.9909732837539894e-5,30.396475770925107,2.1459227467811157
Seneca,267,1011191300,33690,3.331713791445793e-5,43.359375,1.8867924528301887
St. Lawrence,393,7307175560,106566,1.458374704767597e-5,56.54450261780105,2.3255813953488373
Steuben,245,3636438297,94417,2.5964141912676594e-5,33.755274261603375,2.8925619834710745
Suffolk,650,6146695287,1468140,2.3885029783484693e-4,77.25040916530278,4.813664596273292
Sullivan,268,2581221628,75498,2.9248941346620393e-5,36.82170542635659,4.545454545454546
Tioga,245,1354644584,47727,3.523211960075278e-5,35.294117647058826,3.292181069958848
Tompkins,354,1273102625,101702,7.988515458445465e-5,52.03488372093024,2.881844380403458
Ulster,404,3006354575,175883,5.8503744522550204e-5,57.21518987341773,4.5
Warren,308,2412837338,63402,2.627694747651489e-5,47.50830564784053,3.9473684210526314
Washington,319,2190840599,61064,2.7872406613184183e-5,48.38709677419355,2.2222222222222223
Wayne,275,3582098100,89354,2.4944598809284425e-5,44.73684210526316,3.6764705882352944
Westchester,422,1295205884,966092,7.458984026666142e-4,64.47688564476886,3.0952380952380953
Wyoming,251,1544377505,39531,2.5596720926079536e-5,34.97942386831276,2.0242914979757085
Yates,238,973265574,24837,2.551924229470383e-5,36.206896551724135,0.8438818565400843
